"mkpCategory";"code";"mpnTitle";"description [en]";"name";"productSummary [en]";"productPresentation [en]";"productUnit";"packageContent";"packageContentUnit";"thirdLevel";"dangerous";"serialized";"logCard";"easaf1";"variantGroupCode";"eccn";"cm_code";"internalUnit";"id";"line_number";"errors"
"080_014";"FALSE";"DHS613-595-09";"DHS613-595-09";"DHS613-595-09";"DHS613-595-09";"DHS613-595-09";"EA";"1";"EA";"false";"false";"false";"false";"false";"DHS613-595-09";"EAR";"";"











EA




























";"DHS613-595-09";"408";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"DIN65258A25070E";"DIN65258A25070E";"DIN65258A25070E";"DIN65258A25070E";"DIN65258A25070E";"EA";"1";"EA";"false";"false";"false";"false";"false";"DIN65258A25070E";"EAR";"";"











EA




























";"DIN65258A25070E";"409";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"DIN65268K10094T";"DIN65268K10094T";"DIN65268K10094T";"DIN65268K10094T";"DIN65268K10094T";"EA";"1";"EA";"false";"false";"false";"false";"false";"DIN65268K10094T";"EAR";"";"











EA




























";"DIN65268K10094T";"410";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"DIN65270-10D";"DIN65270-10D";"DIN65270-10D";"DIN65270-10D";"DIN65270-10D";"EA";"1";"EA";"false";"false";"false";"false";"false";"DIN65270-10D";"EAR";"";"











EA




























";"DIN65270-10D";"411";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"DIN65399-2405BF";"DIN65399-2405BF";"DIN65399-2405BF";"DIN65399-2405BF";"DIN65399-2405BF";"EA";"1";"EA";"false";"false";"false";"false";"false";"DIN65399-2405BF";"EAR";"";"











EA




























";"DIN65399-2405BF";"412";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"DIN65399-2406CF";"DIN65399-2406CF";"DIN65399-2406CF";"DIN65399-2406CF";"DIN65399-2406CF";"EA";"1";"EA";"false";"false";"false";"false";"false";"DIN65399-2406CF";"EAR";"";"











EA




























";"DIN65399-2406CF";"413";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"DIN65465-25M";"DIN65465-25M";"DIN65465-25M";"DIN65465-25M";"DIN65465-25M";"EA";"1";"EA";"false";"false";"false";"false";"false";"DIN65465-25M";"EAR";"";"











EA




























";"DIN65465-25M";"414";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ECS2151DXJ3208";"RIVET";"ECS2151DXJ3208";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ECS2151DXJ3208";"EAR";"";"











EA




























";"ECS2151DXJ3208";"415";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ECS2151DXJ3216";"RIVET";"ECS2151DXJ3216";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ECS2151DXJ3216";"EAR";"";"











EA




























";"ECS2151DXJ3216";"416";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ECS2234-50722";"ECS2234-50722";"ECS2234-50722";"ECS2234-50722";"ECS2234-50722";"EA";"1";"EA";"false";"false";"false";"false";"false";"ECS2234-50722";"EAR";"";"











EA




























";"ECS2234-50722";"417";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ECS2271CM080E";"ECS2271CM080E";"ECS2271CM080E";"ECS2271CM080E";"ECS2271CM080E";"EA";"1";"EA";"false";"false";"false";"false";"false";"ECS2271CM080E";"EAR";"";"











EA




























";"ECS2271CM080E";"418";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ECS2365TK05S8X";"ECS2365TK05S8X";"ECS2365TK05S8X";"ECS2365TK05S8X";"ECS2365TK05S8X";"EA";"1";"EA";"false";"false";"false";"false";"false";"ECS2365TK05S8X";"EAR";"";"











EA




























";"ECS2365TK05S8X";"419";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"EN2139-03005";"WASHER";"EN2139-03005";"WASHER";"WASHER";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2139-03005";"EAR";"";"











EA




























";"EN2139-03005";"420";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2139-08010";"WASHER FLAT";"EN2139-08010";"WASHER FLAT";"WASHER FLAT";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2139-08010";"EAR";"";"











EA




























";"EN2139-08010";"421";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-10012";"Split Pin";"EN2367-10012";"Split Pin";"Split Pin";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-10012";"EAR";"";"











EA




























";"EN2367-10012";"422";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-10018";"Split Pin";"EN2367-10018";"Split Pin";"Split Pin";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-10018";"EAR";"";"











EA




























";"EN2367-10018";"423";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-14014";"PIN";"EN2367-14014";"PIN";"PIN";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-14014";"EAR";"";"











EA




























";"EN2367-14014";"424";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-14016";"PIN";"EN2367-14016";"PIN";"PIN";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-14016";"EAR";"";"











EA




























";"EN2367-14016";"425";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-14018";"PIN";"EN2367-14018";"PIN";"PIN";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-14018";"EAR";"";"











EA




























";"EN2367-14018";"426";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-14020";"Split Pin";"EN2367-14020";"Split Pin";"Split Pin";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-14020";"EAR";"";"











EA




























";"EN2367-14020";"427";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-18012";"SPLIT PIN";"EN2367-18012";"SPLIT PIN";"SPLIT PIN";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-18012";"EAR";"";"











EA




























";"EN2367-18012";"428";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-18014";"PIN";"EN2367-18014";"PIN";"PIN";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-18014";"EAR";"";"











EA




























";"EN2367-18014";"429";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-18016";"Split Pin";"EN2367-18016";"Split Pin";"Split Pin";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-18016";"EAR";"";"











EA




























";"EN2367-18016";"430";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-18018";"Split Pin";"EN2367-18018";"Split Pin";"Split Pin";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-18018";"EAR";"";"











EA




























";"EN2367-18018";"431";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-18022";"Split Pin";"EN2367-18022";"Split Pin";"Split Pin";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-18022";"EAR";"";"











EA




























";"EN2367-18022";"432";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-23018";"Split Pin";"EN2367-23018";"Split Pin";"Split Pin";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-23018";"EAR";"";"











EA




























";"EN2367-23018";"433";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"EN2367-23020";"Split Pin";"EN2367-23020";"Split Pin";"Split Pin";"EA";"1";"EA";"false";"false";"false";"false";"false";"EN2367-23020";"EAR";"";"











EA




























";"EN2367-23020";"434";"MCM-04031|The product identifiers match multiple products from the same provider."
