"sku;""product-id"";""product-id-type"";""description"";""internal-description"";""price"";""price-additional-info"";""quantity"";""min-quantity-alert"";""state"";""available-start-date"";""available-end-date"";""logistic-class"";""favorite-rank"";""discount-start-date"";""discount-end-date"";""discount-price"";""update-delete"";""allow-quote-requests"";""leadtime-to-ship"";""min-order-quantity"";""max-order-quantity"";""package-quantity"";""price[channel=0100]"";""discount-start-date[channel=0100]"";""discount-end-date[channel=0100]"";""discount-price[channel=0100]"";""price[channel=1000]"";""discount-start-date[channel=1000]"";""discount-end-date[channel=1000]"";""discount-price[channel=1000]"";""price[channel=2000]"";""discount-start-date[channel=2000]"";""discount-end-date[channel=2000]"";""discount-price[channel=2000]"";""price[channel=5000]"";""discount-start-date[channel=5000]"";""discount-end-date[channel=5000]"";""discount-price[channel=5000]"";""price[channel=7000]"";""discount-start-date[channel=7000]"";""discount-end-date[channel=7000]"";""discount-price[channel=7000]"";""commercial-on-collection"";""plt"";""plt-unit"";""shelflife"";""shelflife-unit"";""warranty"";""warranty-unit"";""up-sell"";""cross-sell"";""vendor-reference"";""error-line"";""error-message""",
"21217 DC 40 06 J;""21217 DC 40 06 J"";""mpnTitle"";""21217 DC 40 06 J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""47"";""The product does not exist""",
"21217DC4009J;""21217DC4009J"";""mpnTitle"";""21217DC4009J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""11"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""48"";""The 'price' field is mandatory""",
"21217TB2405;""21217TB2405"";""mpnTitle"";""RIVET"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""49"";""The 'price' field is mandatory""",
"21217TB2407;""21217TB2407"";""mpnTitle"";""RIVET FRAISE 100"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""50"";""The 'price' field is mandatory""",
"21217TB2409;""21217TB2409"";""mpnTitle"";""21217TB2409"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""51"";""The 'price' field is mandatory""",
"21217TB2412;""21217TB2412"";""mpnTitle"";""21217TB2412"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""52"";""The 'price' field is mandatory""",
"21217TB3206;""21217TB3206"";""mpnTitle"";""RIVET FRAISE 100"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""53"";""The 'price' field is mandatory""",
"21217TB3208;""21217TB3208"";""mpnTitle"";""RIVET"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""54"";""The 'price' field is mandatory""",
"21217TB3209;""21217TB3209"";""mpnTitle"";""RIVET FRAISE 100"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""55"";""The 'price' field is mandatory""",
"21217TB3212;""21217TB3212"";""mpnTitle"";""21217TB3212"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""56"";""The 'price' field is mandatory""",
