row_number,reason,manufacturer_name,airbus_material,manufacturer_part_number,cage_code,standard
1010517,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010518,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010519,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010520,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010521,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010522,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010523,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010524,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010525,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010526,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010527,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010528,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010529,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010530,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010531,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010532,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010533,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010534,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010535,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010536,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010537,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010538,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010539,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010540,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010541,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010542,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010543,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010544,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010545,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010546,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010547,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010548,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010549,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010550,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010551,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010552,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010553,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010554,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010555,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
