part_number,quantity,guide_price
LN9499A02040,5,1.1645
MS35059-27,1,140.998
320555,20,1.9125
RSGU1.18-15W1,5,5.3465
RSGU 18/15 W1,5,5.3465
RSGU1 18,5,5.3465
RSGU1.18/15W1,5,5.3465
212-12S,1,33.898
LN9025-0405L,20,1.2155
LN9025-1015K,20,4.709
LN9439M4X30,20,4.76
214-16,2,26.894
2600SW,50,1.921
KCA0105W,1,1557.931
LN9499-04090,5,0.255
LN94-30030,100,0.3485
4639302044,1,3644.0775
4639 302 044,1,3644.0775
4639.302.044,1,3644.0775
4639302037,1,141.9245
4639 302 037,1,141.9245
4639.302.037,1,141.9245
MS28775-020,5,2.3545
4639306039,1,4740.144
4639 306 039,1,4740.144
4639205007,1,4511.2475
4639 205 007,1,4511.2475
4639.205.007,1,4511.2475
4638305009,1,193.5195
4638 305 009,1,193.5195
4638.305.009,1,193.5195
4639305032,1,6353.818
4639 305 032,1,6353.818
4639.305.032,1,6353.818
DIN912-M5X20-8.8-B2C,50,2.6095
DIN912M5X20-8.8B2C,50,2.6095
DIN912-M5X25-8.8-B2C,50,3.4425
DIN912M5X25-8.8B2C,50,3.4425
MS3187A20,5,0.0595
LN9082-8X34S,1,9.367
MS35207-204,100,2.4905
LN9386K08028A,1,2.176
LN29952-0310L,50,1.122
LN9499-04060,5,0.306
MS20601AD4W3,20,2.227
MS21919WH12,5,4.777
MS21919WH9,5,1.6405
S9-7ZY,10,3.0175
LN9439M5X36,10,7.1485
LN9439M6X36,2,9.2055
LN9038K06012,10,1.921
LN9038-05032,10,2.601
HV1201,100,7.548
HV1203,100,0.2975
"OR19X1,8-72NBR872",1,3.1535
"OR   LU  19,00  1,80 72 NBR  ",1,3.1535
"OR 19,00-1,80 72 NBR 872",1,3.1535
"OR35X1,5-72NBR872",1,3.485
"OR   L   35,00  1,50 72 NBR  872",1,3.485
MS21919WDG22,5,1.768
MS21919WDG20,5,6.256
NAS1739B4-2,20,2.1845
41S00I,1,594.7365
40T16K,1,843.268
1N4007,5,16.711
RNF-100-1/16-9,60,2.0315
RNF100TYP1-.1/16WS,60,2.0315
LN9238-3,1,4.335
MS21919WDG18,10,2.5415
LN94-20025,100,0.187
"DIN433-5,3ST50B3C",100,1.3685
"DIN433-6,4ST50B3C",100,2.0995
"DIN9021B6,4NRST",10,5.729
7064-4653,1,633.046
LN29522S08019,1,11.373
LN9355-6X12,10,28.696
LN9038K05036,1,13.9825
LN9438M5X40,50,9.2735
LN9016-08K,20,3.1365
LN29952-0515K,5,4.369
LN9439M6X22,10,4.556
LN9038K08020,2,35.003
LN9439M4X24,10,10.7865
2919,1,15.623
006-08755-0001,1,140.4285
DIN3017-A-90-110X9-W4,2,5.185
DIN3017AL90-110C6-W4,2,5.185
DIN3017-A-90-110X9-C6-W4,2,5.185
LN9438M5X25,1,6.443
"LN9093-0,8",250,0.2635
DIN7984M6X50A2-70,2,5.967
LN29522S08018,1,52.717
LN9178-2410E,100,0.34
LN9178-3207E,200,0.2975
LN9178-3208E,100,0.391
LN9178-3211E,10,0.2635
LN29952-0310M,10,6.63
MS21919WH3,5,2.6945
MS21919WH4,10,2.8985
MS21919WH8,5,2.7965
MS21919WH11,5,2.6775
MS21919WH18,10,8.4065
LN9139M3X22,2,10.88
DIN7984M5X12B2C,1,0.17
320572,10,3.4765
"DIN9021A4,3NRST",100,2.312
MS21043-4,2,1.377
NAS1097AD3-4,10,0.8585
LN9343B08,10,13.77
GPN300F19,10,0.1275
NAS1097AD3-3,100,0.034
40T15K,1,667.403
47S08B,1,422.9685
13-4616P,1,255.7565
LN9025-0620L,10,3.0345
LN9264-4X100,1,7.888
13-4617P,1,215.4155
13-4615P,1,278.5875
LN9082-8X26S,1,8.3555
LN9264-10X160,1,15.878
"LN9297-3.7024.1-0,6",3,311.6865
BWT13-21001040A,1,234.4725
MS17826-4,2,1.309
MS24665-302,100,0.51
117-740131.97,2,17.238
MS24665-1012,10,0.102
DIN83330-E2,1,0.357
LN9198-4013BF,1,0.1445
LN9139M3X8,2,3.5105
DIN71802-CS8-A2P,2,3.723
DIN71802CS08A2B,2,3.723
DIN912M4X10-8.8B2C,5,1.6065
MS21043-3,2,1.1475
MS20615-3M4,100,0.0595
DAN7-5-3,10,3.859
ASNA0082A203,2,46.4695
ASNA0363T0401,1,8.3215
CR7773S-04-01W,1,8.3215
CR777S-04-01W,1,8.3215
ASNA0363T0402,5,11.2115
CR7773S-04-02W,5,11.2115
ASNA0363T0403,1,7.548
CR7773S-04-03W,1,7.548
001755-502-02,1,131.053
LN9198-3211BF,100,0.034
LN9198-3212BF,50,0.493
LN9198-3214BF,100,0.153
LN9037-06018,5,2.7625
LN9499A04090,5,6.7575
LN9038-06018,20,2.312
LN9348-06,4,1.445
LN9345-06,10,1.7085
LN94-10012,100,0.1275
LN9348-04,20,1.224
LN9038-06012,1,1.9295
LN29679BM6,10,12.682
LN9438M5X22,1,6.2135
LN9038-05020,10,2.193
LN9348-08,2,1.7935
LN9038-08040,1,4.862
LN9386-06020,1,8.687
GN565-26-160SW-53-H0CH,1,17.357
EN3434-100,1,2.4735
ASNA0225-100,1,2.4735
23041-501,1,107.848
EN2288-2012,1,39.6355
23041-601,1,99.45
XD69-277-075,2,22.712
D4-XD69-277-075QA,2,22.712
XD69-277-080,1,43.1545
D4-XD69-277-080QA,1,43.1545
TEI14949PL50-1,1,139.434
MS21347-351,1,377.91
12776,50,0.425
MS21919WH2,5,3.1705
"LN9108-5.5655-0,63",1,74.1455
"LN9108-5.5655.2-0,63",1,74.1455
EN3759-040016A,5,3.2385
RD25M10JVL0,1,35.666
RD50M10JVL0,1,110.3555
RD9M10JVL0,1,56.0745
LN9037-05020,5,2.703
NAS1149F0332P,10,1.36
AN960-10L,10,1.36
AN96010L,10,1.36
GPN910-2179,5,0.799
NAS1149D0363H,100,1.3515
MS21042-4,2,1.7935
MS3470L10-6S,1,75.259
ECS0031-12,1,118.439
DHS217-436-10,1,118.439
