part_number,quantity,guide_price
BWT13-22800640A,1,299.9225
BWT13-21200710A,1,211.565
BWT13-21001040A,1,234.4725
BWT13-22400850A,1,391.221
BWT15857-1,1,135.7195
MS24665-302,100,0.51
DIN83330-E2,1,0.357
LN9198-4013BF,1,0.1445
LN9139M3X8,2,3.5105
DIN71802-CS8-A2P,2,3.723
DIN71802CS08A2B,2,3.723
DIN65268K06052A,1,16.7025
HEFTNIET2X12,1,0.0255
DAN7-5-3,10,3.859
DIN472-62X2,1,1.309
AN5-4A,1,0.527
LN29522-06058,2,10.982
ASNA0082A203,2,46.4695
ASNA0363T0401,1,8.3215
CR7773S-04-01W,1,8.3215
CR777S-04-01W,1,8.3215
DIN625-6304-2RS,1,19.278
ASNA0363T0402,5,11.2115
CR7773S-04-02W,5,11.2115
EN3714-050,20,2.9325
DIN65242AC05U,20,2.9325
ASNA0363T0403,1,7.548
CR7773S-04-03W,1,7.548
M85049/60-2G8N,1,18.479
M85049-60-2G08N,1,18.479
M85049/60-2G08N,1,18.479
001755-502-02,1,131.053
MS35214-50,1,8.0325
DIN912-M6X80-8.8,10,0.5015
DIN912M6X80-8.8,10,0.5015
LN9198-3211BF,100,0.034
BWT16352-1,1,524.059
LN9198-3212BF,50,0.493
LN9198-3214BF,100,0.153
DM53740-1NC,2,12.359
LN9038-06008,20,1.598
LN9037-06018,5,2.7625
LN9499A04090,5,6.7575
LN9038-06018,20,2.312
LN9348-06,4,1.445
LN9345-06,10,1.7085
LN94-10012,100,0.1275
LN9348-04,20,1.224
LN9038-06012,1,1.9295
LN29679BM6,10,12.682
LN9438M5X22,1,6.2135
LN9038-05020,10,2.193
LN9348-08,2,1.7935
DCM8W8PN,1,7.6075
3A41.32.20F.28.4.EP,1,15805.325
BWT7301-24-19,1,449.684
63E862,1,19.04
KABEL-EURO-3,1,1045.602
6930A931-1,1,857.3865
6930A/931-1,1,857.3865
LN9491B6,1,7.837
GN565-26-160SW-53-H0CH,1,17.357
EN3434-100,1,2.4735
ASNA0225-100,1,2.4735
23041-501,1,107.848
23041-601,1,99.45
DGL-50110,1,135.252
DGL-50410,1,151.878
