Cherry_Canonical,Cherry_Erroneous,ALLFAST,NAS,ASNA,MS,AGUSTA
CR3522-6-14,,AF3522-6-14,NAS9308M-6-14,ASNA0077E614,,
CR3522-6-15,,AF3522-6-15,NAS9308M-6-15,ASNA0077E615,,
CR3522-6-16,,AF3522-6-16,NAS9308M-6-16,ASNA0077E616,,
CR3522-6-17,,AF3522-6-17,NAS9308M-6-17,ASNA0077E617,,
CR3522-6-18,,AF3522-6-18,NAS9308M-6-18,ASNA0077E618,,
CR3522-6-19,,AF3522-6-19,NAS9308M-6-19,ASNA0077E619,,
CR3522-6-20,,AF3522-6-20,NAS9308M-6-20,ASNA0077E620,,
CR3522-6-21,,AF3522-6-21,NAS9308M-6-21,ASNA0077E621,,
CR3522-6-22,,AF3522-6-22,NAS9308M-6-22,ASNA0077E622,,
CR3522-6-23,,AF3522-6-23,NAS9308M-6-23,ASNA0077E623,,
CR3522-6-24,,AF3522-6-24,NAS9308M-6-24,ASNA0077E624,,
CR3522-6-25,,AF3522-6-25,NAS9308M-6-25,ASNA0077E625,,
CR3522-6-26,,AF3522-6-26,NAS9308M-6-26,ASNA0077E626,,
CR3522-6-27,,AF3522-6-27,NAS9308M-6-27,ASNA0077E627,,
CR3522-6-28,,AF3522-6-28,NAS9308M-6-28,ASNA0077E628,,
CR3522-6-29,,AF3522-6-29,NAS9308M-6-29,ASNA0077E629,,
CR3522-6-30,,AF3522-6-30,NAS9308M-6-30,ASNA0077E630,,
CR3522-6-31,,AF3522-6-31,NAS9308M-6-31,ASNA0077E631,,
CR3522-6-32,,AF3522-6-32,NAS9308M-6-32,ASNA0077E632,,
CR3522-6-33,,AF3522-6-33,NAS9308M-6-33,ASNA0077E633,,
CR3522-6-34,,AF3522-6-34,NAS9308M-6-34,ASNA0077E634,,
CR3522-6-35,,AF3522-6-35,NAS9308M-6-35,ASNA0077E635,,
CR3522-6-36,,AF3522-6-36,NAS9308M-6-36,ASNA0077E636,,
CR3522-6-37,,AF3522-6-37,NAS9308M-6-37,ASNA0077E637,,
CR3522-6-38,,AF3522-6-38,NAS9308M-6-38,ASNA0077E638,,
CR3522-6-39,,AF3522-6-39,NAS9308M-6-39,ASNA0077E639,,
CR3522-6-40,,AF3522-6-40,NAS9308M-6-40,ASNA0077E640,,
CR3522-8-01,CR3522-8-1,AF3522-8-01,NAS9308M-8-01,ASNA0077E801,,
CR3522-8-02,CR3522-8-2,AF3522-8-02,NAS9308M-8-02,ASNA0077E802,,
CR3522-8-03,CR3522-8-3,AF3522-8-03,NAS9308M-8-03,ASNA0077E803,,
CR3522-8-04,CR3522-8-4,AF3522-8-04,NAS9308M-8-04,ASNA0077E804,,
CR3522-8-05,CR3522-8-5,AF3522-8-05,NAS9308M-8-05,ASNA0077E805,,
CR3522-8-06,CR3522-8-6,AF3522-8-06,NAS9308M-8-06,ASNA0077E806,,
CR3522-8-07,CR3522-8-7,AF3522-8-07,NAS9308M-8-07,ASNA0077E807,,
CR3522-8-08,CR3522-8-8,AF3522-8-08,NAS9308M-8-08,ASNA0077E808,,
CR3522-8-09,CR3522-8-9,AF3522-8-09,NAS9308M-8-09,ASNA0077E809,,
CR3522-8-10,,AF3522-8-10,NAS9308M-8-10,ASNA0077E810,,
CR3522-8-11,,AF3522-8-11,NAS9308M-8-11,ASNA0077E811,,
CR3522-8-12,,AF3522-8-12,NAS9308M-8-12,ASNA0077E812,,
CR3522-8-13,,AF3522-8-13,NAS9308M-8-13,ASNA0077E813,,
CR3522-8-14,,AF3522-8-14,NAS9308M-8-14,ASNA0077E814,,
CR3522-8-15,,AF3522-8-15,NAS9308M-8-15,ASNA0077E815,,
CR3522-8-16,,AF3522-8-16,NAS9308M-8-16,ASNA0077E816,,
CR3522-8-17,,AF3522-8-17,NAS9308M-8-17,ASNA0077E817,,
CR3522-8-18,,AF3522-8-18,NAS9308M-8-18,ASNA0077E818,,
CR3522-8-19,,AF3522-8-19,NAS9308M-8-19,ASNA0077E819,,
CR3522-8-20,,AF3522-8-20,NAS9308M-8-20,ASNA0077E820,,
CR3522-8-21,,AF3522-8-21,NAS9308M-8-21,ASNA0077E821,,
CR3522-8-22,,AF3522-8-22,NAS9308M-8-22,ASNA0077E822,,
CR3522-8-23,,AF3522-8-23,NAS9308M-8-23,ASNA0077E823,,
CR3522-8-24,,AF3522-8-24,NAS9308M-8-24,ASNA0077E824,,
CR3522-8-25,,AF3522-8-25,NAS9308M-8-25,ASNA0077E825,,
CR3522-8-26,,AF3522-8-26,NAS9308M-8-26,ASNA0077E826,,
CR3522-8-27,,AF3522-8-27,NAS9308M-8-27,ASNA0077E827,,
CR3522-8-28,,AF3522-8-28,NAS9308M-8-28,ASNA0077E828,,
CR3522-8-29,,AF3522-8-29,NAS9308M-8-29,ASNA0077E829,,
CR3522-8-30,,AF3522-8-30,NAS9308M-8-30,ASNA0077E830,,
CR3522-8-31,,AF3522-8-31,NAS9308M-8-31,ASNA0077E831,,
CR3522-8-32,,AF3522-8-32,NAS9308M-8-32,ASNA0077E832,,
CR3522-8-33,,AF3522-8-33,NAS9308M-8-33,ASNA0077E833,,
CR3522-8-34,,AF3522-8-34,NAS9308M-8-34,ASNA0077E834,,
CR3522-8-35,,AF3522-8-35,NAS9308M-8-35,ASNA0077E835,,
CR3522-8-36,,AF3522-8-36,NAS9308M-8-36,ASNA0077E836,,
